sheet,name,brand_usp,ingredients,serving_size_g,allergens,shelf_life,small_pack_g,large_pack_g,manufacturer,mrp,status,grammage,energy_kcal,protein_g,carbohydrate_g,total_sugar_g,added_sugar_g,dietary_fibre_g,total_fat_g,saturated_fat_g,unsaturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,calcium_mg,energy_pct,protein_pct,added_sugar_pct,dietary_fibre_pct,total_fat_pct,saturated_fat_pct,trans_fat_pct,sodium_pct,calcium_pct
Launched products,Garlic Bread Chickpea Popped Chips,Rich in Protein | Rich in Dietary Fibre | Not Baked | Not Fried,"Chickpea, rice, potato, starch, edible vegetable oil (sunflower oil).

Seasoning: Dehydrated vegetable powder (garlic, onion), spices and spice extract, herbs (oregano), cheese powder, whole milk powder, edible vegetable oil (sunflower oil), salt, sugar, maltodextrin, acidity regulators (INS 262(i), INS 330), anti-caking agents (INS 551, INS 341(iii)).
CONTAINS NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCE(S)",30,Contains milk and milk products.,6 months,32,63,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","50/- for 32gms
1.56/- per gram

95/- for 63gms
1.5/- per gram ",not_launched,32,128.9,3.45,22.46,1.22,0,2.5,2.8,0.86,1.9,0,0,319.13,,,,,,,,,,
Launched products,Garlic Bread Chickpea Popped Chips,Rich in Protein | Rich in Dietary Fibre | Not Baked | Not Fried,"Chickpea, rice, potato, starch, edible vegetable oil (sunflower oil).

Seasoning: Dehydrated vegetable powder (garlic, onion), spices and spice extract, herbs (oregano), cheese powder, whole milk powder, edible vegetable oil (sunflower oil), salt, sugar, maltodextrin, acidity regulators (INS 262(i), INS 330), anti-caking agents (INS 551, INS 341(iii)).
CONTAINS NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCE(S)",30,Contains milk and milk products.,6 months,32,63,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","50/- for 32gms
1.56/- per gram

95/- for 63gms
1.5/- per gram ",not_launched,60,241.74,6.474,42.114,2.286,0,4.698,5.262,1.62,3.62,0,0,598.38,,12.09,12,,15.66,7.85,7.38,,29.92,
Launched products,Garlic Bread Chickpea Popped Chips,Rich in Protein | Rich in Dietary Fibre | Not Baked | Not Fried,"Chickpea, rice, potato, starch, edible vegetable oil (sunflower oil).

Seasoning: Dehydrated vegetable powder (garlic, onion), spices and spice extract, herbs (oregano), cheese powder, whole milk powder, edible vegetable oil (sunflower oil), salt, sugar, maltodextrin, acidity regulators (INS 262(i), INS 330), anti-caking agents (INS 551, INS 341(iii)).
CONTAINS NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCE(S)",30,Contains milk and milk products.,6 months,32,63,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","50/- for 32gms
1.56/- per gram

95/- for 63gms
1.5/- per gram ",not_launched,63,253.82,6.79,44.21,2.4,0,4.93,5.5,1.7,3.79,0,0,628.29,,,,,,,,,,
Launched products,Garlic Bread Chickpea Popped Chips,Rich in Protein | Rich in Dietary Fibre | Not Baked | Not Fried,"Chickpea, rice, potato, starch, edible vegetable oil (sunflower oil).

Seasoning: Dehydrated vegetable powder (garlic, onion), spices and spice extract, herbs (oregano), cheese powder, whole milk powder, edible vegetable oil (sunflower oil), salt, sugar, maltodextrin, acidity regulators (INS 262(i), INS 330), anti-caking agents (INS 551, INS 341(iii)).
CONTAINS NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCE(S)",30,Contains milk and milk products.,6 months,32,63,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","50/- for 32gms
1.56/- per gram

95/- for 63gms
1.5/- per gram ",not_launched,100,402.9,10.79,70.19,3.81,0,7.83,8.77,2.7,6.03,0,0,997.3,,20.2,20,,26.1,13.1,12.3,,49.9,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,22,96.52,1.6,0,0.35,,,2.55,,,,,167.486,,4.8,3,,,3.8,,,8.4,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,30,131.6,2.19,0,0.48,,,3.48,,,,,228.4,,6.6,4.06,,,5.2,,,11.4,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,32,140.4,2.33,24.19,0.51,,,3.71,,,,,243.61,,,,,,,,,,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,35,153.56,2.5,26.4,0.56,,,4.06,,,,,266.45,,7.68,4.73,,,6.06,,,13.3,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,40,175.5,2.92,30.24,0.64,,,4.64,,,,,304.52,,,,,,,,,,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,50,219.38,3.65,37.8,0.8,,,5.8,,,,,380.65,,,,,,,,,,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,60,263.25,4.38,45.36,0.96,,,6.96,,,,,456.78,,,,,,,,,,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,100,438.76,7.3,75.6,1.6,,,11.6,,,,,761.3,,22,13.5,,,17.3,,,38.1,
Launched products,Thai Chilli Quinoa Popped Chips,Source of Protein | No Palm Oil | No Preservatives,"Brown rice, quinoa, chia seed, edible vegetable oil (sunflower oil).

Seasoning: Spices and condiments (chilli), cheese powder, garlic powder, hydrolysed vegetable protein, dehydrated herb (parsley), honey, edible vegetable oil (sunflower oil), sunflower lecithin, salt, sugar, maltodextrin, corn starch, flavour enhancers (INS 627, INS 631), anti-caking agents (INS 470, INS 551), acidity regulator (INS 330).
CONTAINS ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",30,"Contains milk products. Processed on equipment 
that is also used to process products containing milk, nuts and soya.",3 months,32,105,"MADON PURE FOODS PVT. LTD.     
AW 104 – 106, Rajlaxmi Commercial Complex, Opposite Haldiram Red Gate, Kahler, Bhiwandi, 421302, India.

FSSAI Lic. No. 11517018000565","32gm for 50/- (per gm 1.56/-)

105gm for 135/- (per gm 1.28/-)",not_launched,105,459.9,7.66,79.3,1.68,,,12.18,,,,,799.36,,,,,,,,,,
